frame,t_raw_s,utc,lum_mean,r_mean,g_mean,b_mean,roi_lum_mean,lum_max
-1,612457.98877199,2026-09-06T19:59:56.998570+00:00,anchor,anchor,anchor,anchor,anchor,anchor
82,612466.778243,2026-09-06T20:00:05.856643+00:00,51.561,90.904,23.799,91.319,60.968,255
83,612466.883190,2026-09-06T20:00:05.960930+00:00,52.992,93.781,24.612,92.143,62.438,255
84,612466.986596,2026-09-06T20:00:06.064552+00:00,52.672,93.139,24.428,91.965,62.141,255
85,612467.091710,2026-09-06T20:00:06.169169+00:00,51.794,91.443,23.864,91.622,61.183,255
86,612467.194357,2026-09-06T20:00:06.271554+00:00,52.476,92.806,24.249,92.037,61.857,255
87,612467.298887,2026-09-06T20:00:06.377269+00:00,52.513,92.837,24.281,92.124,61.894,255
88,612467.403078,2026-09-06T20:00:06.480684+00:00,51.689,91.190,23.848,91.442,61.099,255
89,612467.506461,2026-09-06T20:00:06.584485+00:00,50.677,89.138,23.294,90.797,60.104,255
90,612467.611221,2026-09-06T20:00:06.688392+00:00,51.460,90.672,23.820,90.932,61.078,255
91,612467.715440,2026-09-06T20:00:06.792617+00:00,52.382,92.535,24.296,91.691,62.049,255
92,612467.819713,2026-09-06T20:00:06.898510+00:00,52.137,92.060,24.161,91.473,61.811,255
93,612467.924192,2026-09-06T20:00:07.001110+00:00,51.901,91.634,23.945,91.635,61.469,255
94,612468.026291,2026-09-06T20:00:07.103726+00:00,52.689,93.225,24.375,92.161,62.213,255
95,612468.130957,2026-09-06T20:00:07.208023+00:00,52.659,93.102,24.428,91.949,62.115,255
96,612468.233445,2026-09-06T20:00:07.310125+00:00,51.359,90.497,23.688,91.195,60.687,255
97,612468.337215,2026-09-06T20:00:07.415239+00:00,52.084,91.983,24.088,91.590,61.415,255
98,612468.441970,2026-09-06T20:00:07.519421+00:00,51.607,91.028,23.807,91.364,60.909,255
99,612468.545513,2026-09-06T20:00:07.623329+00:00,51.173,90.149,23.573,91.063,60.437,255
100,612468.650523,2026-09-06T20:00:07.727096+00:00,52.267,92.408,24.116,91.937,61.478,255
101,612468.752423,2026-09-06T20:00:07.829659+00:00,52.014,91.824,24.068,91.500,61.324,255
102,612468.857049,2026-09-06T20:00:07.934787+00:00,51.738,91.179,23.998,91.131,61.094,255
103,612468.961136,2026-09-06T20:00:08.038734+00:00,51.289,90.376,23.623,91.230,60.490,255
