frame,t_raw_s,utc,therm_mean,therm_max,roi_mean
144,619558.524280,2026-09-06T21:58:17.501360+00:00,32160.79,60000.00,32880.38
145,619558.564313,2026-09-06T21:58:17.541402+00:00,32161.19,60000.00,32880.75
146,619558.604196,2026-09-06T21:58:17.581073+00:00,32161.12,60000.00,32880.49
147,619558.644193,2026-09-06T21:58:17.621068+00:00,32161.21,60000.00,32880.70
148,619558.684212,2026-09-06T21:58:17.661076+00:00,32161.47,60000.00,32881.05
149,619558.724200,2026-09-06T21:58:17.701071+00:00,32162.14,60000.00,32881.77
150,619558.764225,2026-09-06T21:58:17.741127+00:00,32162.62,60000.00,32882.31
151,619558.804308,2026-09-06T21:58:17.781401+00:00,32163.50,60000.00,32883.33
152,619558.844277,2026-09-06T21:58:17.821346+00:00,32163.71,60000.00,32883.44
153,619558.884245,2026-09-06T21:58:17.861325+00:00,32164.59,60000.00,32884.34
154,619558.924199,2026-09-06T21:58:17.901070+00:00,32165.38,60000.00,32885.09
155,619558.964244,2026-09-06T21:58:17.941115+00:00,32166.49,60000.00,32886.20
156,619559.004259,2026-09-06T21:58:17.981337+00:00,32167.23,60000.00,32886.89
157,619559.044323,2026-09-06T21:58:18.021413+00:00,32167.14,60000.00,32886.98
158,619559.084271,2026-09-06T21:58:18.061349+00:00,32167.31,60000.00,32887.00
159,619559.124201,2026-09-06T21:58:18.101078+00:00,32167.18,60000.00,32886.80
160,619559.164199,2026-09-06T21:58:18.141055+00:00,32167.39,60000.00,32887.05
161,619559.204217,2026-09-06T21:58:18.181087+00:00,32168.04,60000.00,32887.72
162,619559.244184,2026-09-06T21:58:18.221047+00:00,32168.89,60000.00,32888.63
163,619559.284196,2026-09-06T21:58:18.261076+00:00,32170.13,60000.00,32889.77
164,619559.324291,2026-09-06T21:58:18.301362+00:00,32171.04,60000.00,32890.65
165,619559.364327,2026-09-06T21:58:18.341404+00:00,32172.50,60000.00,32892.02
166,619559.404255,2026-09-06T21:58:18.381329+00:00,32173.17,60000.00,32892.49
167,619559.444222,2026-09-06T21:58:18.421108+00:00,32172.89,60000.00,32892.10
168,619559.484232,2026-09-06T21:58:18.461092+00:00,32173.79,60000.00,32893.15
169,619559.524251,2026-09-06T21:58:18.501337+00:00,32175.06,60000.00,32894.49
170,619559.564328,2026-09-06T21:58:18.541393+00:00,32175.52,60000.00,32895.11
171,619559.604283,2026-09-06T21:58:18.581371+00:00,32174.97,60000.00,32894.59
172,619559.644200,2026-09-06T21:58:18.621051+00:00,32174.22,60000.00,32893.73
173,619559.684213,2026-09-06T21:58:18.661086+00:00,32173.67,60000.00,32893.22
174,619559.724196,2026-09-06T21:58:18.701060+00:00,32173.11,60000.00,32892.66
175,619559.764220,2026-09-06T21:58:18.741085+00:00,32173.77,60000.00,32893.32
176,619559.804185,2026-09-06T21:58:18.781041+00:00,32173.75,60000.00,32893.45
177,619559.844288,2026-09-06T21:58:18.821371+00:00,32172.78,60000.00,32892.59
178,619559.884273,2026-09-06T21:58:18.861350+00:00,32171.69,60000.00,32891.50
179,619559.924281,2026-09-06T21:58:18.901359+00:00,32170.41,60000.00,32890.16
180,619559.964241,2026-09-06T21:58:18.941106+00:00,32169.25,60000.00,32889.05
181,619560.004217,2026-09-06T21:58:18.981077+00:00,32168.20,60000.00,32887.97
182,619560.044307,2026-09-06T21:58:19.021395+00:00,32167.38,60000.00,32887.29
183,619560.084282,2026-09-06T21:58:19.061370+00:00,32166.42,60000.00,32886.34
184,619560.124286,2026-09-06T21:58:19.101355+00:00,32165.76,60000.00,32885.70
185,619560.164204,2026-09-06T21:58:19.141073+00:00,32165.43,60000.00,32885.35
186,619560.204218,2026-09-06T21:58:19.181075+00:00,32165.19,60000.00,32885.19
187,619560.244258,2026-09-06T21:58:19.221340+00:00,32165.36,60000.00,32885.26
188,619560.284284,2026-09-06T21:58:19.261355+00:00,32165.41,60000.00,32885.38
189,619560.324255,2026-09-06T21:58:19.301335+00:00,32165.64,60000.00,32885.60
190,619560.364210,2026-09-06T21:58:19.341077+00:00,32165.90,60000.00,32885.90
191,619560.404215,2026-09-06T21:58:19.381093+00:00,32166.44,60000.00,32886.40
192,619560.444233,2026-09-06T21:58:19.421095+00:00,32166.66,60000.00,32886.60
193,619560.484205,2026-09-06T21:58:19.461077+00:00,32166.96,60000.00,32886.86
194,619560.524186,2026-09-06T21:58:19.501048+00:00,32166.99,60000.00,32886.76
195,619560.564247,2026-09-06T21:58:19.541330+00:00,32167.52,60000.00,32887.26
196,619560.604301,2026-09-06T21:58:19.581361+00:00,32168.56,60000.00,32888.33
197,619560.644317,2026-09-06T21:58:19.621400+00:00,32168.96,60000.00,32888.75
198,619560.684227,2026-09-06T21:58:19.661088+00:00,32168.95,60000.00,32888.80
199,619560.724243,2026-09-06T21:58:19.701110+00:00,32168.75,60000.00,32888.60
200,619560.764272,2026-09-06T21:58:19.741344+00:00,32167.81,60000.00,32887.54
201,619560.804271,2026-09-06T21:58:19.781336+00:00,32166.31,60000.00,32886.11
202,619560.844338,2026-09-06T21:58:19.821417+00:00,32164.67,60000.00,32884.56
203,619560.884239,2026-09-06T21:58:19.861209+00:00,32163.65,60000.00,32883.57
204,619560.924222,2026-09-06T21:58:19.901072+00:00,32163.62,60000.00,32883.54
205,619560.964291,2026-09-06T21:58:19.941372+00:00,32164.04,60000.00,32883.91
206,619561.004267,2026-09-06T21:58:19.981326+00:00,32164.72,60000.00,32884.75
207,619561.044271,2026-09-06T21:58:20.021350+00:00,32165.71,60000.00,32885.73
208,619561.084210,2026-09-06T21:58:20.061060+00:00,32167.27,60000.00,32887.22
209,619561.124184,2026-09-06T21:58:20.101041+00:00,32168.64,60000.00,32888.41
210,619561.164241,2026-09-06T21:58:20.141105+00:00,32169.86,60000.00,32889.56
211,619561.204215,2026-09-06T21:58:20.181078+00:00,32170.19,60000.00,32889.87
212,619561.244188,2026-09-06T21:58:20.221047+00:00,32170.08,60000.00,32889.93
213,619561.284292,2026-09-06T21:58:20.261368+00:00,32170.46,60000.00,32890.32
214,619561.324271,2026-09-06T21:58:20.301379+00:00,32170.35,60000.00,32890.14
215,619561.364278,2026-09-06T21:58:20.341357+00:00,32169.68,60000.00,32889.61
216,619561.404192,2026-09-06T21:58:20.381045+00:00,32168.38,60000.00,32888.28
217,619561.444234,2026-09-06T21:58:20.421095+00:00,32167.24,60000.00,32887.22
218,619561.484306,2026-09-06T21:58:20.461370+00:00,32166.36,60000.00,32886.37
219,619561.524288,2026-09-06T21:58:20.501360+00:00,32165.82,60000.00,32885.96
220,619561.564303,2026-09-06T21:58:20.541369+00:00,32165.28,60000.00,32885.35
221,619561.604234,2026-09-06T21:58:20.581092+00:00,32165.28,60000.00,32885.35
222,619561.644250,2026-09-06T21:58:20.621098+00:00,32165.10,60000.00,32885.03
223,619561.684317,2026-09-06T21:58:20.661395+00:00,32165.46,60000.00,32885.33
224,619561.724282,2026-09-06T21:58:20.701338+00:00,32166.00,60000.00,32885.81
225,619561.764276,2026-09-06T21:58:20.741344+00:00,32166.85,60000.00,32886.64
226,619561.804225,2026-09-06T21:58:20.781080+00:00,32168.46,60000.00,32888.21
227,619561.844217,2026-09-06T21:58:20.821082+00:00,32170.34,60000.00,32890.05
228,619561.884328,2026-09-06T21:58:20.861396+00:00,32171.14,60000.00,32890.68
229,619561.924274,2026-09-06T21:58:20.901339+00:00,32170.87,60000.00,32890.57
230,619561.964333,2026-09-06T21:58:20.941394+00:00,32170.06,60000.00,32889.64
231,619562.004227,2026-09-06T21:58:20.981080+00:00,32169.89,60000.00,32889.53
232,619562.044196,2026-09-06T21:58:21.021046+00:00,32168.84,60000.00,32888.39
233,619562.084307,2026-09-06T21:58:21.061377+00:00,32167.74,60000.00,32887.21
234,619562.124280,2026-09-06T21:58:21.101347+00:00,32167.16,60000.00,32886.59
235,619562.164289,2026-09-06T21:58:21.141363+00:00,32167.33,60000.00,32886.84
236,619562.204213,2026-09-06T21:58:21.181061+00:00,32167.34,60000.00,32886.89
237,619562.244204,2026-09-06T21:58:21.221055+00:00,32167.50,60000.00,32887.03
238,619562.284295,2026-09-06T21:58:21.261383+00:00,32167.64,60000.00,32887.16
239,619562.324278,2026-09-06T21:58:21.301378+00:00,32167.43,60000.00,32886.88
240,619562.364299,2026-09-06T21:58:21.341387+00:00,32167.27,60000.00,32886.77
241,619562.404201,2026-09-06T21:58:21.381072+00:00,32166.75,60000.00,32886.38
242,619562.444232,2026-09-06T21:58:21.421108+00:00,32165.67,60000.00,32885.27
243,619562.484229,2026-09-06T21:58:21.461109+00:00,32164.20,60000.00,32883.77
244,619562.524226,2026-09-06T21:58:21.501093+00:00,32163.39,60000.00,32882.83
245,619562.564235,2026-09-06T21:58:21.541110+00:00,32162.92,60000.00,32882.43
246,619562.604323,2026-09-06T21:58:21.581447+00:00,32162.31,60000.00,32881.77
247,619562.644305,2026-09-06T21:58:21.621414+00:00,32161.86,60000.00,32881.38
248,619562.684318,2026-09-06T21:58:21.661391+00:00,32161.07,60000.00,32880.62
249,619562.724220,2026-09-06T21:58:21.701091+00:00,32160.21,60000.00,32879.79
250,619562.764210,2026-09-06T21:58:21.741072+00:00,32160.17,60000.00,32879.38
251,619562.804306,2026-09-06T21:58:21.781407+00:00,32160.75,60000.00,32880.33
252,619562.844327,2026-09-06T21:58:21.821406+00:00,32161.32,60000.00,32880.98
253,619562.884318,2026-09-06T21:58:21.861407+00:00,32161.29,60000.00,32880.92
254,619562.924235,2026-09-06T21:58:21.901096+00:00,32161.08,60000.00,32880.82
255,619562.964251,2026-09-06T21:58:21.941136+00:00,32161.52,60000.00,32881.22
256,619563.004296,2026-09-06T21:58:21.981373+00:00,32162.27,60000.00,32881.85
257,619563.044286,2026-09-06T21:58:22.021376+00:00,32163.65,60000.00,32883.17
258,619563.084321,2026-09-06T21:58:22.061402+00:00,32164.87,60000.00,32884.34
259,619563.124284,2026-09-06T21:58:22.101157+00:00,32166.67,60000.00,32886.04
260,619563.164241,2026-09-06T21:58:22.141103+00:00,32167.70,60000.00,32887.13
261,619563.204263,2026-09-06T21:58:22.181139+00:00,32168.17,60000.00,32887.55
262,619563.244225,2026-09-06T21:58:22.221090+00:00,32167.54,60000.00,32887.04
263,619563.284226,2026-09-06T21:58:22.261095+00:00,32166.92,60000.00,32886.37
264,619563.324447,2026-09-06T21:58:22.301516+00:00,32167.31,60000.00,32886.79
265,619563.364283,2026-09-06T21:58:22.341369+00:00,32167.48,60000.00,32887.09
266,619563.404328,2026-09-06T21:58:22.381414+00:00,32167.56,60000.00,32887.22
267,619563.444242,2026-09-06T21:58:22.421118+00:00,32167.22,60000.00,32886.90
268,619563.484238,2026-09-06T21:58:22.461100+00:00,32166.83,60000.00,32886.48
269,619563.524303,2026-09-06T21:58:22.501392+00:00,32167.12,60000.00,32886.81
270,619563.564294,2026-09-06T21:58:22.541370+00:00,32168.01,60000.00,32887.61
271,619563.604305,2026-09-06T21:58:22.581395+00:00,32169.42,60000.00,32888.92
272,619563.644305,2026-09-06T21:58:22.621175+00:00,32171.04,60000.00,32890.53
273,619563.684238,2026-09-06T21:58:22.661113+00:00,32171.49,60000.00,32891.17
274,619563.724241,2026-09-06T21:58:22.701098+00:00,32170.65,60000.00,32890.37
275,619563.764264,2026-09-06T21:58:22.741143+00:00,32170.12,60000.00,32890.03
276,619563.804221,2026-09-06T21:58:22.781076+00:00,32169.71,60000.00,32889.56
277,619563.844237,2026-09-06T21:58:22.821108+00:00,32169.13,60000.00,32888.92
278,619563.884244,2026-09-06T21:58:22.861132+00:00,32168.88,60000.00,32888.63
279,619563.924285,2026-09-06T21:58:22.901377+00:00,32169.04,60000.00,32888.85
280,619563.964392,2026-09-06T21:58:22.941455+00:00,32169.29,60000.00,32888.99
281,619564.004401,2026-09-06T21:58:22.981475+00:00,32169.76,60000.00,32889.36
282,619564.044252,2026-09-06T21:58:23.021090+00:00,32169.86,60000.00,32889.51
283,619564.084239,2026-09-06T21:58:23.061096+00:00,32168.76,60000.00,32888.53
284,619564.124309,2026-09-06T21:58:23.101355+00:00,32167.23,60000.00,32886.98
285,619564.164298,2026-09-06T21:58:23.141362+00:00,32165.52,60000.00,32885.34
286,619564.204289,2026-09-06T21:58:23.181341+00:00,32164.33,60000.00,32884.09
287,619564.244227,2026-09-06T21:58:23.221081+00:00,32163.68,60000.00,32883.49
288,619564.284267,2026-09-06T21:58:23.261120+00:00,32163.71,60000.00,32883.45
289,619564.324320,2026-09-06T21:58:23.301374+00:00,32163.80,60000.00,32883.69
290,619564.364349,2026-09-06T21:58:23.341406+00:00,32163.82,60000.00,32883.61
291,619564.404292,2026-09-06T21:58:23.381350+00:00,32164.80,60000.00,32884.59
292,619564.444275,2026-09-06T21:58:23.421120+00:00,32165.78,60000.00,32885.60
293,619564.484227,2026-09-06T21:58:23.461071+00:00,32166.80,60000.00,32886.58
294,619564.524295,2026-09-06T21:58:23.501353+00:00,32167.90,60000.00,32887.77
295,619564.564309,2026-09-06T21:58:23.541364+00:00,32168.92,60000.00,32888.67
296,619564.604290,2026-09-06T21:58:23.581341+00:00,32168.73,60000.00,32888.56
297,619564.644246,2026-09-06T21:58:23.621086+00:00,32167.79,60000.00,32887.70
298,619564.684242,2026-09-06T21:58:23.661082+00:00,32167.31,60000.00,32887.10
299,619564.724247,2026-09-06T21:58:23.701096+00:00,32167.42,60000.00,32887.25
300,619564.764245,2026-09-06T21:58:23.741085+00:00,32167.50,60000.00,32887.49
301,619564.804236,2026-09-06T21:58:23.781081+00:00,32167.99,60000.00,32887.98
302,619564.844298,2026-09-06T21:58:23.821354+00:00,32168.74,60000.00,32888.54
303,619564.884291,2026-09-06T21:58:23.861346+00:00,32169.38,60000.00,32889.07
304,619564.924317,2026-09-06T21:58:23.901369+00:00,32170.28,60000.00,32890.01
305,619564.964275,2026-09-06T21:58:23.941124+00:00,32170.67,60000.00,32890.39
306,619565.004245,2026-09-06T21:58:23.981089+00:00,32171.02,60000.00,32890.77
307,619565.044313,2026-09-06T21:58:24.021368+00:00,32171.39,60000.00,32890.99
308,619565.084300,2026-09-06T21:58:24.061344+00:00,32171.73,60000.00,32891.49
309,619565.124307,2026-09-06T21:58:24.101366+00:00,32171.62,60000.00,32891.21
310,619565.164253,2026-09-06T21:58:24.141120+00:00,32171.59,60000.00,32891.26
311,619565.204242,2026-09-06T21:58:24.181083+00:00,32171.62,60000.00,32891.37
312,619565.244256,2026-09-06T21:58:24.221101+00:00,32172.17,60000.00,32892.01
313,619565.284266,2026-09-06T21:58:24.261114+00:00,32172.54,60000.00,32892.28
314,619565.324389,2026-09-06T21:58:24.301215+00:00,32173.19,60000.00,32892.87
315,619565.364361,2026-09-06T21:58:24.341409+00:00,32174.23,60000.00,32893.71
316,619565.404347,2026-09-06T21:58:24.381390+00:00,32174.19,60000.00,32893.77
317,619565.444390,2026-09-06T21:58:24.421450+00:00,32174.84,60000.00,32894.38
318,619565.484240,2026-09-06T21:58:24.461086+00:00,32175.73,60000.00,32895.21
319,619565.524240,2026-09-06T21:58:24.501087+00:00,32176.54,60000.00,32895.98
320,619565.564361,2026-09-06T21:58:24.541437+00:00,32175.32,60000.00,32894.71
321,619565.604314,2026-09-06T21:58:24.581388+00:00,32173.85,60000.00,32893.23
