protocol,modality,model,threshold,rule_windows,rule_hits,positive_detected,positive_runs,false_alerts,control_runs,selected
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,5,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.325,5,5,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,3,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,4,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,5,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.35,5,5,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,3,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,4,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,5,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.375,5,5,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,1,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,2,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,2,2,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,3,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,3,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,3,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,4,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,4,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,4,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,4,4,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,5,1,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,5,2,2,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,5,3,1,2,2,3,False
nested_r1_fit_r2_rule_r3_test,NVML,random_forest,0.4,5,4,1,2,2,3,False
